DscClasseConsumo,SigUF,SigTipoGeracao,periodo,TotalEmpreendimentos
Residencial,RO,UFV,2009-02,1
Residencial,RO,UFV,2009-06,1
Residencial,MS,UFV,2009-06,1
Comercial,MS,UFV,2009-09,1
Residencial,MS,UFV,2010-04,1
Residencial,MS,UFV,2010-07,1
Comercial,MS,UFV,2010-09,1
Residencial,MS,UFV,2010-10,1
Residencial,MS,UFV,2010-11,2
Comercial,MS,UFV,2011-04,2
Residencial,MS,UFV,2011-05,1
Industrial,MS,UFV,2011-07,1
Rural,MS,UFV,2011-08,1
Residencial,MS,UFV,2012-02,1
Residencial,MS,UFV,2012-06,1
Residencial,MS,UFV,2012-11,1
Residencial,MS,UFV,2013-01,1
Residencial,MS,UFV,2013-02,1
Rural,RO,UFV,2013-04,1
Comercial,RO,UFV,2013-04,1
Residencial,RO,UFV,2013-04,1
Residencial,PE,UFV,2013-08,1
Residencial,MS,UFV,2013-08,1
Industrial,RO,UFV,2013-12,1
Comercial,PE,UFV,2013-12,1
Residencial,MS,UFV,2014-03,2
Comercial,MS,UFV,2014-03,1
Residencial,GO,UFV,2014-05,1
Poder Público,PE,UFV,2014-07,1
Residencial,PE,UFV,2014-08,1
Industrial,PE,UFV,2014-09,1
Residencial,MS,UFV,2014-09,1
Rural,GO,UFV,2014-09,1
Comercial,PE,UFV,2014-09,1
Poder Público,PE,UFV,2014-10,1
Comercial,RO,UFV,2014-11,1
Residencial,MS,UFV,2014-11,1
Residencial,PE,UFV,2014-12,2
Comercial,PE,UFV,2015-01,1
Residencial,PE,UFV,2015-03,1
Comercial,PE,UFV,2015-03,1
Residencial,RO,UFV,2015-03,1
Poder Público,PE,UFV,2015-03,1
Comercial,GO,UFV,2015-03,1
Residencial,PE,UFV,2015-04,5
Comercial,PE,UFV,2015-04,2
Residencial,PE,UFV,2015-05,1
Residencial,GO,UFV,2015-05,1
Residencial,PE,UFV,2015-06,2
Residencial,GO,UFV,2015-07,1
Poder Público,PE,UFV,2015-07,1
Residencial,PE,EOL,2015-07,1
Residencial,PE,UFV,2015-07,4
Residencial,MS,UFV,2015-07,1
Residencial,PE,UFV,2015-08,1
Comercial,GO,UFV,2015-08,1
Poder Público,PE,UFV,2015-08,1
Residencial,PE,UFV,2015-09,1
Comercial,PE,UFV,2015-09,3
Residencial,GO,UFV,2015-10,1
Residencial,PE,UFV,2015-10,2
Comercial,PE,UFV,2015-10,1
Poder Público,PE,UFV,2015-10,1
Rural,GO,UTE,2015-11,1
Residencial,GO,UFV,2015-11,4
Residencial,RO,UFV,2015-11,1
Residencial,PE,UFV,2015-11,6
Residencial,GO,UFV,2015-12,8
Rural,GO,UTE,2015-12,1
Residencial,MS,UFV,2015-12,1
Comercial,GO,UFV,2015-12,1
Residencial,PE,UFV,2015-12,2
Residencial,MG,UFV,2015-12,1
Comercial,PE,UFV,2015-12,4
Comercial,PE,UFV,2016-01,5
Residencial,GO,UFV,2016-01,3
Residencial,PE,UFV,2016-01,1
Rural,PE,UFV,2016-01,2
Residencial,GO,UFV,2016-02,5
Residencial,PE,UFV,2016-02,8
Comercial,PE,UFV,2016-02,1
Comercial,PE,UFV,2016-03,4
Residencial,PE,UFV,2016-03,6
Residencial,GO,UFV,2016-03,2
Residencial,MS,UFV,2016-03,1
Poder Público,PE,UFV,2016-03,1
Comercial,GO,UFV,2016-03,2
Residencial,RO,UFV,2016-04,1
Rural,GO,UFV,2016-04,1
Residencial,GO,UFV,2016-04,5
Comercial,GO,UFV,2016-04,1
Comercial,RO,UFV,2016-04,1
Residencial,PE,UFV,2016-04,8
Comercial,RO,UFV,2016-05,1
Comercial,PE,UFV,2016-05,3
Residencial,RO,UFV,2016-05,1
Residencial,MS,UFV,2016-05,1
Residencial,PE,UFV,2016-05,3
Residencial,GO,UFV,2016-05,3
Residencial,RO,UFV,2016-06,2
Industrial,PE,UFV,2016-06,2
Residencial,PE,UFV,2016-06,5
Residencial,RR,UFV,2016-06,1
Comercial,PE,UFV,2016-06,3
Comercial,PE,UTE,2016-06,1
Comercial,GO,UFV,2016-06,2
Residencial,GO,UFV,2016-06,397
Residencial,MS,UFV,2016-06,1
Poder Público,GO,UFV,2016-06,1
Poder Público,PE,UFV,2016-06,1
Comercial,RO,UFV,2016-06,1
Residencial,RO,UFV,2016-07,1
Comercial,PE,UFV,2016-07,5
Comercial,GO,UFV,2016-07,1
Residencial,PE,UFV,2016-07,6
Residencial,GO,UFV,2016-07,68
Residencial,PE,UFV,2016-08,7
Residencial,GO,UFV,2016-08,8
Poder Público,PE,UFV,2016-08,1
Comercial,PE,UFV,2016-08,4
Comercial,PE,UFV,2016-09,4
Residencial,MS,UFV,2016-09,2
Comercial,GO,UFV,2016-09,3
Residencial,GO,UFV,2016-09,27
Residencial,PE,UFV,2016-09,7
Rural,MS,UFV,2016-09,1
Comercial,PR,UFV,2016-10,1
Residencial,PE,UFV,2016-10,7
Residencial,RO,UFV,2016-10,1
Comercial,SP,UFV,2016-10,1
Comercial,PE,UFV,2016-10,1
Residencial,GO,UFV,2016-10,12
Residencial,PE,UFV,2016-11,2
Comercial,GO,UFV,2016-11,1
Residencial,GO,UFV,2016-11,6
Residencial,RO,UFV,2016-11,2
Comercial,RO,UFV,2016-11,2
Residencial,MS,UFV,2016-11,1
Comercial,PE,UFV,2016-11,1
Industrial,GO,UFV,2016-11,1
Residencial,GO,UFV,2016-12,5
Residencial,SP,UFV,2016-12,1
Residencial,PR,UFV,2016-12,2
Residencial,PE,UFV,2016-12,7
Comercial,GO,UFV,2016-12,1
Comercial,RO,UFV,2016-12,2
Rural,GO,UFV,2016-12,1
Comercial,PR,UFV,2016-12,1
Residencial,BA,UFV,2016-12,1
Rural,GO,UFV,2017-01,1
Rural,GO,UTE,2017-01,1
Residencial,PE,UFV,2017-01,4
Comercial,GO,UFV,2017-01,4
Comercial,PE,UFV,2017-01,3
Comercial,RO,UFV,2017-01,1
Residencial,GO,UFV,2017-01,8
Residencial,RO,UFV,2017-01,4
Serviço Público,GO,UFV,2017-01,1
Rural,GO,UFV,2017-02,1
Residencial,RO,UFV,2017-02,1
Residencial,GO,UFV,2017-02,10
Comercial,PE,UFV,2017-02,1
Residencial,PE,UFV,2017-02,2
Comercial,GO,UFV,2017-02,3
Comercial,GO,UFV,2017-03,3
Residencial,PE,UFV,2017-03,10
Residencial,RO,UFV,2017-03,3
Comercial,RO,UFV,2017-03,1
Rural,GO,UFV,2017-03,2
Residencial,GO,UFV,2017-03,16
Comercial,PE,UFV,2017-03,3
Residencial,RR,UFV,2017-03,1
Industrial,PE,UFV,2017-03,1
Residencial,PE,UFV,2017-04,8
Rural,GO,UTE,2017-04,1
Residencial,GO,UFV,2017-04,7
Comercial,GO,UFV,2017-04,6
Comercial,MS,UFV,2017-04,1
Comercial,RO,UFV,2017-04,1
Rural,PR,UFV,2017-04,1
Residencial,RO,UFV,2017-04,1
Residencial,PE,UFV,2017-05,9
Residencial,PR,UFV,2017-05,1
Comercial,PE,UFV,2017-05,4
Residencial,RO,UFV,2017-05,1
Comercial,GO,UFV,2017-05,8
Rural,GO,UFV,2017-05,1
Residencial,GO,UFV,2017-05,11
Rural,MS,UFV,2017-06,1
Poder Público,PE,UFV,2017-06,4
Comercial,PE,UFV,2017-06,5
Residencial,RO,UFV,2017-06,1
Rural,PR,UFV,2017-06,1
Residencial,MS,UFV,2017-06,1
Rural,RS,UFV,2017-06,1
Comercial,GO,UFV,2017-06,9
Residencial,PE,UFV,2017-06,12
