SigUF,SigTipoGeracao,periodo,PotenciaInstaladaKW
RO,UFV,2009-02,15.0
RO,UFV,2009-06,8.2
MS,UFV,2009-06,3.0
MS,UFV,2009-09,6.0
MS,UFV,2010-04,15.0
MS,UFV,2010-07,18.0
MS,UFV,2010-09,10.0
MS,UFV,2010-10,5.0
MS,UFV,2010-11,9.9
MS,UFV,2011-04,16.8
MS,UFV,2011-05,4.95
MS,UFV,2011-07,4.0
MS,UFV,2011-08,12.0
MS,UFV,2012-02,3.0
MS,UFV,2012-06,3.0
MS,UFV,2012-11,6.0
MS,UFV,2013-01,6.0
MS,UFV,2013-02,2.78
RO,UFV,2013-04,35.0
MS,UFV,2013-08,3.0
PE,UFV,2013-08,3.0
RO,UFV,2013-12,70.0
PE,UFV,2013-12,967.0
MS,UFV,2014-03,33.0
GO,UFV,2014-05,1.44
PE,UFV,2014-07,361.64
PE,UFV,2014-08,2.35
GO,UFV,2014-09,6.0
MS,UFV,2014-09,1.0
PE,UFV,2014-09,55.019999999999996
PE,UFV,2014-10,8.28
RO,UFV,2014-11,6.0
MS,UFV,2014-11,8.0
PE,UFV,2014-12,11.51
PE,UFV,2015-01,13.8
PE,UFV,2015-03,51.8
RO,UFV,2015-03,2.0
GO,UFV,2015-03,9.6
PE,UFV,2015-04,29.5
GO,UFV,2015-05,1.44
PE,UFV,2015-05,5.0
PE,UFV,2015-06,10.2
PE,EOL,2015-07,3.3
MS,UFV,2015-07,7.0
GO,UFV,2015-07,4.2
PE,UFV,2015-07,549.62
PE,UFV,2015-08,4.04
GO,UFV,2015-08,1.3
PE,UFV,2015-09,50.0
PE,UFV,2015-10,35.8
GO,UFV,2015-10,2.0
GO,UFV,2015-11,13.36
GO,UTE,2015-11,120.0
PE,UFV,2015-11,29.5
RO,UFV,2015-11,5.0
MS,UFV,2015-12,3.0
MG,UFV,2015-12,3.0
GO,UTE,2015-12,201.6
PE,UFV,2015-12,61.68
GO,UFV,2015-12,46.24
PE,UFV,2016-01,93.78
GO,UFV,2016-01,10.28
GO,UFV,2016-02,15.24
PE,UFV,2016-02,51.39
PE,UFV,2016-03,138.29
MS,UFV,2016-03,5.0
GO,UFV,2016-03,78.47
PE,UFV,2016-04,41.11
RO,UFV,2016-04,5.5
GO,UFV,2016-04,69.77
RO,UFV,2016-05,15.0
PE,UFV,2016-05,148.19
GO,UFV,2016-05,6.34
MS,UFV,2016-05,6.0
MS,UFV,2016-06,8.0
RO,UFV,2016-06,27.0
PE,UFV,2016-06,170.93
RR,UFV,2016-06,2.97
GO,UFV,2016-06,158.4
PE,UTE,2016-06,28.38
RO,UFV,2016-07,5.0
GO,UFV,2016-07,369.58
PE,UFV,2016-07,135.3
PE,UFV,2016-08,45.99
GO,UFV,2016-08,5.75
PE,UFV,2016-09,116.16
MS,UFV,2016-09,32.0
GO,UFV,2016-09,304.83
SP,UFV,2016-10,3.0
RO,UFV,2016-10,2.5
PE,UFV,2016-10,45.37
PR,UFV,2016-10,8.2
GO,UFV,2016-10,56.31
RO,UFV,2016-11,68.64
GO,UFV,2016-11,52.8
PE,UFV,2016-11,14.5
MS,UFV,2016-11,3.0
PR,UFV,2016-12,15.0
RO,UFV,2016-12,64.8
SP,UFV,2016-12,7.28
BA,UFV,2016-12,6.0
PE,UFV,2016-12,42.260000000000005
GO,UFV,2016-12,57.160000000000004
GO,UTE,2017-01,211.0
